source,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating
previous scrape,40.42127,-3.70902,Private room in rental unit,Private room,2,1.0,1.0,40.0,2,1125,4.0
city scrape,40.42049,-3.70733,Private room in rental unit,Private room,1,1.0,1.0,40.0,2,30,4.54
previous scrape,40.4193,-3.71043,Private room in rental unit,Private room,1,1.0,1.0,29.0,365,1125,4.33
previous scrape,40.41183,-3.72422,Private room in rental unit,Private room,2,1.0,1.0,42.0,1,5,5.0
previous scrape,40.40865,-3.69734,Entire rental unit,Entire home/apt,4,2.0,3.0,60.0,1,30,5.0
city scrape,40.41058,-3.70377,Entire rental unit,Entire home/apt,4,1.0,2.0,56.0,1,3,4.79
city scrape,40.41208,-3.70698,Entire rental unit,Entire home/apt,5,2.0,3.0,167.0,2,356,4.77
city scrape,40.40534,-3.68086,Entire rental unit,Entire home/apt,1,1.0,1.0,31.0,1,1125,4.78
city scrape,40.4144,-3.67644,Entire rental unit,Entire home/apt,2,1.0,1.0,150.0,14,300,4.8
previous scrape,40.42818,-3.71817,Private room in rental unit,Private room,2,1.0,1.0,40.0,2,1125,0.0
