index,source,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,Entire home/apt,Hotel room,Private room,Shared room
1086,previous scrape,40.42187,-3.70292,2,1.0,1.0,0.22945205479452052,3,8,5.0,1.0,0.0,0.0,0.0
1087,city scrape,40.4093,-3.69804,2,1.0,1.0,0.2808219178082192,14,1125,4.78,1.0,0.0,0.0,0.0
1088,previous scrape,40.41153,-3.70697,1,1.0,1.0,0.07534246575342465,7,30,5.0,0.0,0.0,1.0,0.0
1089,city scrape,40.42247,-3.7029,1,1.0,1.0,0.14383561643835616,2,1125,4.88,0.0,0.0,1.0,0.0
1090,city scrape,40.43337,-3.6517,2,1.0,1.0,0.08904109589041095,2,1125,4.83,0.0,0.0,1.0,0.0
1091,previous scrape,40.41003,-3.69848,2,1.0,2.0,0.1780821917808219,3,15,4.48,1.0,0.0,0.0,0.0
1092,previous scrape,40.42556,-3.70443,2,1.0,1.0,0.21232876712328766,3,1125,4.86,1.0,0.0,0.0,0.0
1093,city scrape,40.42489,-3.70787,1,1.0,1.0,0.14383561643835616,4,6,5.0,0.0,0.0,1.0,0.0
1094,previous scrape,40.41316,-3.70306,6,2.0,2.0,0.39383561643835613,2,1125,4.58,1.0,0.0,0.0,0.0
1095,previous scrape,40.41669,-3.70553,6,2.0,4.0,0.410958904109589,2,1125,4.6,1.0,0.0,0.0,0.0
1096,previous scrape,40.39674,-3.65901,1,1.0,1.0,0.07534246575342465,1,6,5.0,0.0,0.0,1.0,0.0
1097,city scrape,40.42802,-3.63347,2,1.0,1.0,0.05821917808219178,1,1125,4.6,0.0,0.0,1.0,0.0
1098,city scrape,40.46284,-3.63952,4,2.0,2.0,0.6232876712328766,4,1125,5.0,1.0,0.0,0.0,0.0
1099,city scrape,40.38648,-3.69156,1,1.0,1.0,0.2465753424657534,2,1125,4.63,0.0,0.0,1.0,0.0
1100,previous scrape,40.42397,-3.66505,2,1.0,1.0,0.2465753424657534,1000,1000,4.97,0.0,0.0,1.0,0.0
